seq,Lat,Lon,vin,cluster_labels
33,40.1096711,-83.19112890000001,2e4f57620d583eacd826ae5b1d59a28a,18
38,40.1029501,-83.1631257,2e4f57620d583eacd826ae5b1d59a28a,10
54,40.097912799999996,-83.08673509999998,2e4f57620d583eacd826ae5b1d59a28a,13
55,40.108953299999996,-83.0203945,2e4f57620d583eacd826ae5b1d59a28a,22
65,40.086688,-83.0927338,2e4f57620d583eacd826ae5b1d59a28a,14
69,40.101124799999994,-83.1152409,2e4f57620d583eacd826ae5b1d59a28a,19
78,40.0525167,-83.0205103,2e4f57620d583eacd826ae5b1d59a28a,67
1357,40.054122799999995,-82.9134549,47f05f240fe5005587aff77154f32305,1
1384,40.018455200000005,-82.8790033,47f05f240fe5005587aff77154f32305,27
1445,40.018224100000005,-82.87836970000001,47f05f240fe5005587aff77154f32305,27
1449,40.080816,-82.813775,47f05f240fe5005587aff77154f32305,64
186,39.9669344,-83.0001311,621b9c5cfb2ed7d0385def227966457d,9
